source	sourceTitle	target	targetTitle
Patrick Baudisch	de	Ruth Rosenholtz	orig
Krista Ehinger	au	Ruth Rosenholtz	orig
Andrew Watson	uk	Ruth Rosenholtz	orig
Nadja Schinkel-Bielefeld	com	Ruth Rosenholtz	orig
Piercesare Grimaldi	edu	Seong Hah Cho	hk
Piercesare Grimaldi	edu	Vincent Taschereau-Dumouchel	edu
David Rosenthal	edu	Piercesare Grimaldi	edu
Mike Aitken-Deakin	uk	Prof. T.W. Robbins	uk
Mike Aitken-Deakin	uk	Paul Fletcher	uk
Mike Aitken-Deakin	uk	Philip Corlett	orig
Luke Clark	ca	Mike Aitken-Deakin	uk
Luke Clark	ca	Prof. T.W. Robbins	uk
Luke Clark	ca	Philip Corlett	orig
Anthony Dickinson	uk	Mike Aitken-Deakin	uk
Anthony Dickinson	uk	Prof. T.W. Robbins	uk
Anthony Dickinson	uk	David Shanks	uk
Anthony Dickinson	uk	Philip Corlett	orig
A.J. Haskins	-	Thomas L Botch	edu
A.J. Haskins	-	Caroline E Robertson	orig
JD Knotts	edu	Vincent Taschereau-Dumouchel	edu
David Melcher	it	Jason Samaha	orig
David Shanks	uk	Philip Corlett	orig
Katherine L. Hermann	edu	Nancy Kanwisher	edu
Alex Martin	gov	Caroline E Robertson	orig
Alex Martin	gov	Dwight Kravitz	edu
Alex Martin	gov	Greg Wallace	edu
Anna Mynick	edu	Caroline E Robertson	orig
Brian Mullen	edu	Brian Odegaard	orig
Brian Mullen	edu	Danielle Salomon	edu
Dr G. Murray	uk	Philip Corlett	orig
Albert Powers, M.D., Ph.D.	-	Philip Corlett	orig
Anthony Absalom	nl	Philip Corlett	orig
P.B. Jones	-	Philip Corlett	orig
